flight,frame,class_id,species,txt_x1,txt_y1,txt_x2,txt_y2,txt_h,txt_w
1,11726,1,Cervus elaphus (Red deer),709,578,749,632,53,40
17,14339,5,Cervus elaphus (Red deer),456,102,510,146,43,54
17,14342,5,Cervus elaphus (Red deer),454,115,507,161,46,52
17,14343,5,Cervus elaphus (Red deer),449,141,506,191,50,56
17,14349,5,Cervus elaphus (Red deer),447,178,504,228,49,57
17,14354,5,Cervus elaphus (Red deer),445,208,503,258,49,57
17,14359,5,Cervus elaphus (Red deer),445,238,501,287,48,55
17,14364,5,Cervus elaphus (Red deer),443,268,500,318,49,56
17,14370,5,Cervus elaphus (Red deer),442,304,498,352,48,55
17,14377,5,Cervus elaphus (Red deer),441,351,497,400,49,55
17,14387,5,Cervus elaphus (Red deer),439,408,493,456,47,53
17,14397,5,Cervus elaphus (Red deer),437,468,492,516,48,55
17,14407,5,Cervus elaphus (Red deer),434,529,491,578,48,56
17,14417,5,Cervus elaphus (Red deer),433,581,490,629,48,56
17,14427,5,Cervus elaphus (Red deer),433,627,488,675,47,55
17,14427,1,Cervus elaphus (Red deer),498,132,553,179,47,55
17,14427,5,Cervus elaphus (Red deer),590,140,643,187,46,53
17,14437,5,Cervus elaphus (Red deer),431,678,487,727,49,55
17,14437,1,Cervus elaphus (Red deer),497,185,551,231,46,54
17,14437,5,Cervus elaphus (Red deer),588,193,642,239,46,53
17,14437,5,Cervus elaphus (Red deer),562,151,609,193,42,47
17,14447,5,Cervus elaphus (Red deer),559,208,606,252,44,47
17,14447,1,Cervus elaphus (Red deer),431,735,487,783,48,56
17,14447,5,Cervus elaphus (Red deer),498,244,546,290,45,48
17,14447,5,Cervus elaphus (Red deer),589,251,637,296,44,47
17,14448,5,Cervus elaphus (Red deer),559,211,605,255,43,45
17,14448,1,Cervus elaphus (Red deer),431,739,486,787,48,55
17,14448,11,Cervus elaphus (Red deer),587,255,637,302,46,49
17,14448,5,Cervus elaphus (Red deer),498,248,547,295,46,48
17,14449,5,Cervus elaphus (Red deer),587,317,638,361,44,50
17,14449,5,Cervus elaphus (Red deer),430,799,486,848,48,55
17,14449,5,Cervus elaphus (Red deer),561,274,607,316,41,46
17,14449,1,Cervus elaphus (Red deer),497,309,549,353,43,51
17,14449,11,Cervus elaphus (Red deer),536,151,582,201,50,45
17,14459,1,Cervus elaphus (Red deer),496,344,548,389,44,52
17,14459,11,Cervus elaphus (Red deer),535,187,581,239,51,45
17,14459,5,Cervus elaphus (Red deer),430,835,485,883,47,55
17,14459,5,Cervus elaphus (Red deer),587,353,637,398,44,50
17,14459,5,Cervus elaphus (Red deer),560,311,606,352,40,46
17,14471,5,Cervus elaphus (Red deer),587,393,638,439,45,51
17,14471,5,Cervus elaphus (Red deer),430,876,486,922,45,55
17,14471,1,Cervus elaphus (Red deer),496,386,548,430,43,51
17,14471,11,Cervus elaphus (Red deer),535,229,581,282,52,46
17,14471,5,Cervus elaphus (Red deer),559,351,605,394,42,45
17,14477,5,Cervus elaphus (Red deer),586,414,636,459,44,50
17,14477,5,Cervus elaphus (Red deer),559,372,605,413,41,45
17,14477,11,Cervus elaphus (Red deer),535,250,579,301,51,44
17,14477,1,Cervus elaphus (Red deer),496,406,546,449,43,50
17,14482,5,Cervus elaphus (Red deer),586,433,637,477,44,50
17,14482,11,Cervus elaphus (Red deer),535,269,580,322,53,45
17,14482,5,Cervus elaphus (Red deer),559,391,605,433,41,45
17,14482,1,Cervus elaphus (Red deer),496,425,546,468,42,49
17,14487,11,Cervus elaphus (Red deer),535,286,580,338,51,45
17,14487,11,Cervus elaphus (Red deer),560,408,604,449,41,44
17,14487,11,Cervus elaphus (Red deer),586,448,635,493,44,49
17,14487,11,Cervus elaphus (Red deer),496,441,547,485,44,51
17,14492,11,Cervus elaphus (Red deer),534,302,580,354,52,45
17,14492,5,Cervus elaphus (Red deer),559,424,605,465,40,45
17,14492,5,Cervus elaphus (Red deer),586,466,635,510,44,49
17,14492,1,Cervus elaphus (Red deer),496,457,546,501,43,50
17,14512,5,Cervus elaphus (Red deer),586,526,635,571,44,49
17,14512,11,Cervus elaphus (Red deer),535,365,580,416,51,44
17,14512,5,Cervus elaphus (Red deer),560,485,604,527,42,44
17,14512,1,Cervus elaphus (Red deer),495,518,548,563,44,52
17,14532,11,Cervus elaphus (Red deer),535,430,582,484,53,46
17,14532,5,Cervus elaphus (Red deer),560,550,606,592,42,46
17,14532,5,Cervus elaphus (Red deer),587,593,636,637,44,49
17,14532,1,Cervus elaphus (Red deer),497,584,548,628,43,51
17,14542,11,Cervus elaphus (Red deer),535,461,582,517,55,47
17,14542,5,Cervus elaphus (Red deer),561,582,607,625,42,46
17,14542,5,Cervus elaphus (Red deer),587,625,638,669,44,50
17,14542,1,Cervus elaphus (Red deer),496,615,548,659,43,51
17,14552,5,Cervus elaphus (Red deer),587,651,637,696,44,50
17,14552,11,Cervus elaphus (Red deer),536,489,583,544,54,47
17,14552,5,Cervus elaphus (Red deer),561,609,607,653,43,46
17,14552,1,Cervus elaphus (Red deer),497,643,549,687,43,52
17,14562,11,Cervus elaphus (Red deer),536,516,584,570,54,48
17,14562,5,Cervus elaphus (Red deer),587,677,638,722,44,50
17,14562,1,Cervus elaphus (Red deer),497,669,550,714,44,53
17,14562,5,Cervus elaphus (Red deer),561,637,608,680,42,46
17,14572,11,Cervus elaphus (Red deer),536,542,585,597,54,49
17,14572,5,Cervus elaphus (Red deer),562,663,608,706,43,46
17,14572,5,Cervus elaphus (Red deer),588,705,639,749,44,51
17,14572,1,Cervus elaphus (Red deer),498,696,551,740,44,53
17,14592,11,Cervus elaphus (Red deer),539,596,583,649,53,43
17,14592,5,Cervus elaphus (Red deer),563,714,610,757,43,46
17,14592,5,Cervus elaphus (Red deer),589,757,640,802,45,51
17,14592,1,Cervus elaphus (Red deer),498,748,552,792,44,53
17,14612,11,Cervus elaphus (Red deer),540,650,583,701,50,42
17,14612,5,Cervus elaphus (Red deer),591,810,641,854,44,50
17,14612,5,Cervus elaphus (Red deer),564,768,611,811,43,47
17,14612,1,Cervus elaphus (Red deer),500,802,552,846,43,52
17,14632,5,Cervus elaphus (Red deer),593,862,642,906,43,49
17,14632,5,Cervus elaphus (Red deer),566,819,612,863,43,45
17,14632,11,Cervus elaphus (Red deer),548,713,583,752,38,34
17,14632,1,Cervus elaphus (Red deer),501,854,552,897,42,51
17,14652,5,Cervus elaphus (Red deer),566,879,611,915,36,45
17,25607,5,Cervus elaphus (Red deer),562,872,599,908,35,37
17,25607,1,Cervus elaphus (Red deer),493,901,533,931,30,39
17,25627,5,Cervus elaphus (Red deer),555,802,601,845,42,45
17,25627,5,Cervus elaphus (Red deer),581,846,630,890,43,49
17,25627,1,Cervus elaphus (Red deer),490,836,541,879,42,50
