sample_idx,true_label,pred_T1,variance_T1,pred_T2,variance_T2,pred_T3,variance_T3,pred_T5,variance_T5,pred_T8,variance_T8,pred_T13,variance_T13,pred_T21,variance_T21
0,dense,sparse,,sparse,2e-06,sparse,7.4e-05,sparse,0.001428,sparse,0.007468,sparse,0.000322,sparse,0.000283
1,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
2,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
3,dense,dense,,dense,0.006535,dense,0.040618,dense,0.055317,dense,0.422022,dense,0.151267,dense,0.19607
4,dense,sparse,,dense,0.297573,dense,0.131735,dense,0.21033,sparse,0.25128,sparse,0.254405,sparse,0.260549
5,dense,sparse,,sparse,0.122208,sparse,0.44408,sparse,0.024734,sparse,0.017884,sparse,0.048721,sparse,0.083967
6,dense,dense,,dense,3e-06,dense,2.4e-05,dense,0.000525,dense,0.003075,dense,0.000197,dense,0.000357
7,dense,dense,,dense,1e-06,dense,0.0,dense,4.1e-05,dense,0.0,dense,1e-06,dense,1e-06
8,dense,sparse,,sparse,0.000106,sparse,0.162258,sparse,0.014474,sparse,0.024742,sparse,0.031095,sparse,0.22512
9,dense,dense,,dense,3.2e-05,dense,1e-06,dense,1.8e-05,dense,0.000646,dense,2.8e-05,dense,6.1e-05
10,dense,dense,,dense,7e-06,dense,0.000835,dense,1.5e-05,dense,0.00014,dense,0.001883,dense,0.000607
11,dense,dense,,dense,0.008642,dense,0.073019,dense,0.060323,dense,0.093687,dense,0.088209,dense,0.094086
12,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
13,dense,dense,,dense,0.065194,dense,0.011019,dense,0.020987,dense,0.124503,dense,0.03457,dense,0.008293
14,dense,dense,,dense,7e-06,dense,0.000261,dense,0.000331,dense,0.041639,dense,0.000678,dense,0.029481
15,dense,dense,,dense,0.0,dense,2.5e-05,dense,1.8e-05,dense,8e-06,dense,0.000151,dense,3e-06
16,dense,dense_leafless,,dense_leafless,0.082056,dense_leafless,0.258856,dense_leafless,0.665584,dense_leafless,0.25087,dense_leafless,0.254409,dense_leafless,0.250045
17,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
18,dense,sparse,,sparse,0.012988,sparse,0.005631,sparse,0.070673,sparse,0.001423,sparse,0.056562,sparse,0.024784
19,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,1e-06,dense,0.0,dense,1e-06
20,dense,dense,,sparse,0.264708,dense,0.331848,dense,0.202236,dense,0.230295,dense,0.138805,dense,0.200728
21,dense,dense,,dense,1.5e-05,dense,5e-06,dense,5e-06,dense,7e-05,dense,2.3e-05,dense,4e-06
22,dense,dense,,dense,6e-06,dense,6e-06,dense,0.000738,dense,0.001841,dense,7.7e-05,dense,0.000189
23,dense,sparse,,sparse,0.0978,sparse,0.362633,sparse,0.081292,sparse,0.253143,sparse,0.224516,sparse,0.216646
24,dense,sparse,,sparse,4.6e-05,sparse,0.000617,sparse,0.000685,sparse,0.00083,sparse,0.006838,sparse,0.001842
25,dense,dense,,dense,0.000155,dense,0.015219,dense,0.128306,dense,0.268503,dense,0.204354,dense,0.053903
26,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
27,dense,dense,,dense,0.0,dense,0.0,dense,0.01069,dense,2e-06,dense,0.000196,dense,4e-06
28,dense,dense,,dense,0.003467,dense,0.00327,dense,2e-06,dense,7.4e-05,dense,6.1e-05,dense,0.001484
29,dense,dense,,dense,0.0,dense,1e-06,dense,0.0,dense,5e-06,dense,1e-05,dense,3e-06
30,dense,dense,,dense,0.0,dense,0.0,dense,1e-06,dense,5e-06,dense,0.0,dense,0.0
31,dense,sparse,,sparse,0.0,sparse,5e-06,sparse,1.1e-05,sparse,7e-06,sparse,1e-06,sparse,7e-06
32,dense,dense,,dense,0.000208,dense,0.000151,dense,3.3e-05,dense,2e-06,dense,0.000288,dense,0.00023
33,dense,sparse,,sparse,0.0,sparse,0.0,sparse,0.0,sparse,0.0,sparse,0.0,sparse,0.0
34,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
35,dense,dense,,dense,0.164567,dense,0.084771,dense,0.133099,dense,0.408784,dense,0.200684,dense,0.278596
36,dense,sparse,,dense,0.086328,dense,0.061868,dense,0.239655,dense,0.105312,dense,0.217371,dense,0.101631
37,dense,sparse,,sparse,0.000163,sparse,7e-06,sparse,7e-06,sparse,1e-06,sparse,1e-06,sparse,1e-06
38,dense,sparse,,sparse,5e-06,sparse,1e-06,sparse,0.0,sparse,5e-06,sparse,1.2e-05,sparse,0.000307
39,dense,dense,,dense,0.000176,dense,0.084185,dense,0.010205,dense,0.056757,dense,0.016254,dense,0.044664
40,dense,sparse,,sparse,0.013787,sparse,0.915731,sparse,0.067651,sparse,0.309795,sparse,0.163353,sparse,0.116003
41,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
42,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
43,dense,dense,,dense,4.8e-05,dense,8.2e-05,dense,0.0,dense,7e-06,dense,0.0,dense,5.9e-05
44,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
45,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
46,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
47,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
48,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
