sample_idx,true_label,pred_T1,variance_T1,pred_T2,variance_T2,pred_T3,variance_T3,pred_T5,variance_T5,pred_T8,variance_T8,pred_T13,variance_T13,pred_T21,variance_T21
0,dense,dense,,dense,0.002263,dense,0.000609,dense,0.0075,dense,0.001607,dense,0.009742,dense,0.087024
1,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
2,dense,dense_leafless,,dense_leafless,0.034211,dense_leafless,0.00656,dense_leafless,0.014387,dense_leafless,0.233276,dense_leafless,0.214888,dense_leafless,0.223442
3,dense,dense_leafless,,dense_leafless,0.00893,dense_leafless,0.073582,dense_leafless,0.166332,dense_leafless,0.26543,dense_leafless,0.152186,dense_leafless,0.220541
4,dense,dense,,dense,0.000958,dense,0.009209,dense,0.062223,dense,0.363865,dense,0.318089,dense,0.065926
5,dense,dense_leafless,,dense_leafless,3.4e-05,dense_leafless,0.000655,dense_leafless,0.007804,dense_leafless,0.189417,dense_leafless,0.063067,dense_leafless,0.035006
6,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
7,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
8,dense,dense_leafless,,dense_leafless,0.002042,dense_leafless,0.006936,dense_leafless,0.00764,dense_leafless,0.071947,dense_leafless,0.079045,dense_leafless,0.055694
9,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
10,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
11,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
12,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
13,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
14,dense,dense,,dense,0.00152,dense,8.4e-05,dense,0.008749,dense,0.003177,dense,0.020675,dense,0.008463
15,dense,dense,,dense,0.001865,dense,0.0,dense,0.004609,dense,0.022629,dense,0.005226,dense,0.002674
16,dense,dense_leafless,,dense_leafless,0.002887,dense_leafless,0.036434,dense_leafless,0.146636,dense_leafless,0.2035,dense_leafless,0.314211,dense_leafless,0.318729
17,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
18,dense,sparse,,sparse,0.042183,sparse,0.027053,sparse,0.421487,sparse,0.226162,sparse,0.175208,sparse,0.215102
19,dense,dense,,dense,2e-06,dense,0.000162,dense,7.8e-05,dense,5e-06,dense,0.000654,dense,0.000207
20,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,2.7e-05,dense,1e-06,dense,5e-06
21,dense,dense,,dense,0.0,dense,5e-06,dense,1.7e-05,dense,4e-06,dense,0.000254,dense,5e-06
22,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
23,dense,dense,,dense,0.000223,dense,0.001157,dense,0.00434,dense,0.007705,dense,0.001809,dense,0.001
24,dense,dense,,dense,0.002414,dense,0.005969,dense,0.02435,dense,0.024305,dense,0.145452,dense,0.10746
25,dense,dense,,dense,0.0,dense,0.0,dense,8e-06,dense,0.0,dense,0.000201,dense,9.3e-05
26,dense,dense,,dense,0.0,dense,3e-06,dense,6e-06,dense,1.1e-05,dense,0.000122,dense,4e-06
27,dense,dense,,dense,3.4e-05,dense,1e-06,dense,1e-06,dense,0.000199,dense,1.4e-05,dense,3.9e-05
28,dense,dense,,dense,0.0,dense,0.0,dense,3e-06,dense,1e-06,dense,5e-06,dense,3e-06
29,dense,dense,,dense,0.000154,dense,0.001207,dense,0.011309,dense,0.005391,dense,0.010496,dense,0.023589
30,dense,dense,,dense,0.0,dense,1e-06,dense,0.0,dense,6.9e-05,dense,2e-06,dense,2.1e-05
31,dense,dense,,dense,0.0,dense,1.6e-05,dense,3e-06,dense,0.000305,dense,1e-06,dense,7e-06
32,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
33,dense,sparse,,sparse,0.005963,sparse,0.0,sparse,0.000241,sparse,0.000273,sparse,0.00169,sparse,0.002008
34,dense,dense,,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0,dense,0.0
35,dense,dense_leafless,,dense_leafless,0.000514,dense_leafless,0.000585,dense_leafless,0.009154,dense_leafless,0.006267,dense_leafless,0.000652,dense_leafless,0.0023
